id;start_date;end_date;language
1;2021-07-06T10:02:22;2021-07-06T07:52:37;ENGLISH
2;2021-07-05T19:29:57;2021-07-06T04:55:26;FRENCH
3;2021-07-06T05:26:09;2021-07-05T17:31:17;SPANISH
4;2021-07-06T09:56:58;2021-07-05T15:23:17;FRENCH
5;2021-07-06T12:13:21;2021-07-05T20:32:19;ENGLISH
6;2021-07-05T21:44:04;2021-07-06T11:44:24;SPANISH
7;2021-07-06T05:47:52;2021-07-05T16:22:01;FRENCH
8;2021-07-05T20:13:45;2021-07-05T16:49:34;FRENCH
9;2021-07-05T21:05:23;2021-07-06T08:36:49;FRENCH
10;2021-07-05T17:02:21;2021-07-06T09:59:50;FRENCH
